option	kind	default	family	object	depends	source	help	role	n_values	in_build
solver:rescale_period	int	30	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:413	Number of iterations before recalculating variable scaling	tuning		bout
solver:rescale_threshold	real	100.	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:416	How much change their should be in the norm of the	tuning		bout
solver:rtol	real	1e-10	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:286	Relative tolerance in SNES solve	tuning		bout
solver:save_jacobian	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:423	Save PETSc Jacobian diagnostics to datadir	tuning		bout
solver:scale_rhs	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:406	Scale time derivatives (Jacobian row scaling)?	tuning		bout
solver:scale_vars	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:409	Scale variables to be order unity?	tuning		bout
solver:snes_type	enum	anderson	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:282	PETSc nonlinear solver method to use	tuning	21	bout
solver:stol	real	1e-8	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:287	Convergence tolerance in terms of the norm of the change in	tuning		bout
solver:target_its	int	7	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:342	Target snes iterations	tuning		bout
solver:timestep	real	1.0	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:272	Initial backward Euler timestep	tuning		bout
solver:timestep_control	enum	BoutSnesTimestep::pid_nonlinear_its	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:335	Timestep control method	tuning		bout
solver:timestep_factor	real	1.1	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:338	When timestep_control=residual_ratio, multiply timestep	tuning		bout
solver:timestep_factor_on_failure	real	0.5	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:306	Multiply timestep on convergence failure	tuning		bout
solver:timestep_factor_on_lower_its	real	1.4	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:314	Multiply timestep if iterations are below lower_its	tuning		bout
solver:timestep_factor_on_upper_its	real	0.9	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:310	Multiply timestep if iterations exceed upper_its	tuning		bout
solver:upper_its	real	static_cast<int>(maxits * 0.8)	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:300	Iterations above which the next timestep is reduced	tuning		bout
solver:use_coloring	bool	true	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:393	Use matrix coloring to calculate Jacobian?	tuning		bout
solver:use_precon	bool	false	bout	BOUT++ SNES solver	solver:type=snes	/home/mike/work/hermes-3/external/BOUT-dev/src/solver/impls/snes/snes.cxx:359	Use user-supplied preconditioner?	tuning		bout
pc_gamg_agg_nsmooths	int	"""PCGAMGSetNSmooths"""	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:292	None	tuning		yes
pc_gamg_agg_nsmooths	int	"*/ /* ""PCGAMGSetNSmooths_AGG"""	gamg	geo	pc_type=gamg	src/ksp/pc/impls/gamg/geo.c:98	None	tuning		yes
pc_gamg_aggressive_coarsening	int	pc_gamg_agg->aggressive_coarsening_level	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:294	Number of aggressive coarsening (MIS-2) levels from finest	tuning		yes
pc_gamg_aggressive_mis_k	int	pc_gamg_agg->aggressive_mis_k	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:306	Number of levels of multigrid to use.	tuning		yes
pc_gamg_aggressive_square_graph	bool	new_sqr_graph	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:297	Use square graph (A'A) or MIS-k (k=2) for aggressive coarsening	tuning		yes
pc_gamg_asm_hem_aggs	int	pc_gamg->asm_hem_aggs	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1831	Number of HEM matching passed in aggregates for ASM smoother	tuning		yes
pc_gamg_asm_use_agg	bool	pc_gamg->use_aggs_in_asm	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1824	Use aggregation aggregates for ASM smoother	tuning		yes
pc_gamg_classical_interp_threshold	real	cls->interp_threshold	gamg	classical	pc_type=gamg	src/ksp/pc/impls/gamg/classical.c:892	Threshold for classical interpolator entries	tuning		yes
pc_gamg_classical_nsmooths	int	cls->nsmooths	gamg	classical	pc_type=gamg	src/ksp/pc/impls/gamg/classical.c:893	Threshold for classical interpolator entries	tuning		yes
pc_gamg_classical_type	enum	cls->prolongtype	gamg	classical	pc_type=gamg	src/ksp/pc/impls/gamg/classical.c:890	Type of Classical AMG prolongation	tuning		yes
pc_gamg_coarse_eq_limit	int	pc_gamg->coarse_eq_limit	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1830	Limit on number of equations for the coarse grid	tuning		yes
pc_gamg_coarse_grid_layout_type	enum	(PetscEnum)pc_gamg->layout_type	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1827	compact: place reduced grids on processes in natural order; spread: distribute to whole machine for more memory bandwidt	tuning	2	yes
pc_gamg_cpu_pin_coarse_grids	bool	pc_gamg->cpu_pin_coarse_grids	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1826	Pin coarse grids to the CPU	tuning		yes
pc_gamg_eigenvalues	array		gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1854	extreme eigenvalues for smoothed aggregation	tuning		yes
pc_gamg_graph_symmetrize	bool	pc_gamg_agg->graph_symmetrize	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:307	Symmetrize graph for coarsening	tuning		yes
pc_gamg_injection_index	array		gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1861	Array of indices to use to use injection coarse grid space	tuning		yes
pc_gamg_low_memory_threshold_filter	bool	pc_gamg_agg->use_low_mem_filter	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:305	Use the (built-in) low memory graph/matrix filter	tuning		yes
pc_gamg_mis_k_minimum_degree_ordering	bool	pc_gamg_agg->use_minimum_degree_ordering	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:304	Use minimum degree ordering for greedy MIS	tuning		yes
pc_gamg_parallel_coarse_grid_solver	bool	pc_gamg->use_parallel_coarse_grid_solver	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1825	Use parallel coarse grid solver (otherwise put last grid on one process)	tuning		yes
pc_gamg_process_eq_limit	int	pc_gamg->min_eq_proc	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1829	Limit (goal) on number of equations per process on coarse grids	tuning		yes
pc_gamg_rank_reduction_factors	array		gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1845	Manual schedule of coarse grid reduction factors that overrides internal heuristics (0 for first reduction puts one proc	tuning		yes
pc_gamg_recompute_esteig	bool	pc_gamg->recompute_esteig	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1822	Set flag to recompute eigen estimates for Chebyshev when matrix changes	tuning		yes
pc_gamg_repartition	bool	pc_gamg->repart	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1820	Repartion coarse grids	tuning		yes
pc_gamg_reuse_interpolation	bool	pc_gamg->reuse_prol	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1823	Reuse prolongation operator	tuning		yes
pc_gamg_square_graph	int	nsq_graph_old	gamg	agg	pc_type=gamg	src/ksp/pc/impls/gamg/agg.c:296	Number of aggressive coarsening (MIS-2) levels from finest (deprecated alias for -pc_gamg_aggressive_coarsening)	tuning		yes
pc_gamg_threshold	array		gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1834	Relative threshold to use for dropping edges in aggregation graph	tuning		yes
pc_gamg_threshold_scale	real	pc_gamg->threshold_scale	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1832	Scaling of threshold for each level not specified	tuning		yes
pc_gamg_type	enum	pc_gamg->gamg_type_name	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1818	Type of AMG method (only 'agg' supported and useful)	tuning		yes
pc_gamg_use_sa_esteig	bool	pc_gamg->use_sa_esteig	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1821	Use eigen estimate from smoothed aggregation for smoother	tuning		yes
pc_mg_levels	int	-1	gamg	gamg	pc_type=gamg	src/ksp/pc/impls/gamg/gamg.c:1816	Number of Levels	tuning		yes
pc_hypre_ads_amg_options	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1653	AMG options for vector AMG solver inside ADS	tuning		yes
pc_hypre_ads_amg_theta	real	jac->as_amg_beta_theta	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1651	Threshold for strong coupling of vector AMG solver inside ADS	tuning		yes
pc_hypre_ads_ams_cycle_type	int	jac->ams_cycle_type	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1642	Cycle type for AMS solver inside ADS	tuning		yes
pc_hypre_ads_ams_options	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1641	AMG options for AMS solver inside ADS	tuning		yes
pc_hypre_ads_ams_theta	real	jac->as_amg_alpha_theta	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1639	Threshold for strong coupling of AMS solver inside ADS	tuning		yes
pc_hypre_ads_cycle_type	int	jac->ads_cycle_type	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1630	Cycle type for ADS multigrid	tuning		yes
pc_hypre_ads_max_iter	int	jac->as_max_iter	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1628	Maximum number of ADS multigrid iterations within PCApply	tuning		yes
pc_hypre_ads_omega	real	jac->as_omega	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1637	SSOR coefficient for ADS smoother	tuning		yes
pc_hypre_ads_print_level	int	jac->as_print	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1626	Debugging output level for ADS	diagnostic		yes
pc_hypre_ads_relax_times	int	jac->as_relax_times	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1635	Number of relaxation steps for ADS smoother	tuning		yes
pc_hypre_ads_relax_type	int	jac->as_relax_type	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1634	Relaxation type for ADS smoother	tuning		yes
pc_hypre_ads_relax_weight	real	jac->as_relax_weight	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1636	Relaxation weight for ADS smoother	tuning		yes
pc_hypre_ads_tol	real	jac->as_tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1632	Error tolerance for ADS multigrid	tuning		yes
pc_hypre_ams_amg_alpha_options	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1545	AMG options for vector Poisson	tuning		yes
pc_hypre_ams_amg_alpha_theta	real	jac->as_amg_alpha_theta	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1543	Threshold for strong coupling of vector Poisson AMG solver	tuning		yes
pc_hypre_ams_amg_beta_options	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1555	AMG options for scalar Poisson solver	tuning		yes
pc_hypre_ams_amg_beta_theta	real	jac->as_amg_beta_theta	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1553	Threshold for strong coupling of scalar Poisson AMG solver	tuning		yes
pc_hypre_ams_cycle_type	int	jac->ams_cycle_type	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1534	Cycle type for AMS multigrid	tuning		yes
pc_hypre_ams_max_iter	int	jac->as_max_iter	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1532	Maximum number of AMS multigrid iterations within PCApply	tuning		yes
pc_hypre_ams_omega	real	jac->as_omega	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1541	SSOR coefficient for AMS smoother	tuning		yes
pc_hypre_ams_print_level	int	jac->as_print	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1530	Debugging output level for AMS	diagnostic		yes
pc_hypre_ams_projection_frequency	int	jac->ams_proj_freq	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1563	Frequency at which a projection onto the compatible subspace for problems with zero conductivity regions is performed	tuning		yes
pc_hypre_ams_relax_times	int	jac->as_relax_times	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1539	Number of relaxation steps for AMS smoother	tuning		yes
pc_hypre_ams_relax_type	int	jac->as_relax_type	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1538	Relaxation type for AMS smoother	tuning		yes
pc_hypre_ams_relax_weight	real	jac->as_relax_weight	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1540	Relaxation weight for AMS smoother	tuning		yes
pc_hypre_ams_tol	real	jac->as_tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1536	Error tolerance for AMS multigrid	tuning		yes
pc_hypre_boomeramg_Adroptol	real	jac->Adroptol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1220	Defines the drop tolerance for the A-matrices from the 2nd level of AMG	tuning		yes
pc_hypre_boomeramg_Adroptype	int	"-1: infinity norm"""	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1223	None	tuning		yes
pc_hypre_boomeramg_P_max	int	jac->pmax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:953	Max elements per row for interpolation operator (0=unlimited)	tuning		yes
pc_hypre_boomeramg_agg_nl	int	jac->agg_nl	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:956	Number of levels of aggressive coarsening	tuning		yes
pc_hypre_boomeramg_agg_num_paths	int	jac->agg_num_paths	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:959	Number of paths for aggressive coarsening	tuning		yes
pc_hypre_boomeramg_coarsen_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1180	Coarsen type	tuning	11	yes
pc_hypre_boomeramg_cycle_type	enum	2	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:934	Cycle type	tuning		yes
pc_hypre_boomeramg_eu_bj	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1104	Use Block Jacobi for ILU in Euclid smoother?	tuning		yes
pc_hypre_boomeramg_eu_droptolerance	real	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1097	Drop tolerance for ILU(k) in Euclid smoother	tuning		yes
pc_hypre_boomeramg_eu_level	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1089	Number of levels for ILU(k) in Euclid smoother	tuning		yes
pc_hypre_boomeramg_filterthresholdR	real	jac->Rfilterthreshold	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1217	Filter threshold for R	tuning		yes
pc_hypre_boomeramg_grid_sweeps_all	int	jac->gridsweeps[0]	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:968	Number of sweeps for the up and down grid levels	tuning		yes
pc_hypre_boomeramg_grid_sweeps_coarse	int	jac->gridsweeps[2]	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:999	Number of sweeps for the coarse level	tuning		yes
pc_hypre_boomeramg_grid_sweeps_down	int	jac->gridsweeps[0]	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:989	Number of sweeps for the down cycles	tuning		yes
pc_hypre_boomeramg_grid_sweeps_up	int	jac->gridsweeps[1]	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:994	Number of sweeps for the up cycles	tuning		yes
pc_hypre_boomeramg_ilu_drop_tol	real	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1069	Drop tolerance for ILU	tuning		yes
pc_hypre_boomeramg_ilu_iterative_setup_maxiter	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1041	Set ILU iterative setup maximum iteration count	tuning		yes
pc_hypre_boomeramg_ilu_iterative_setup_option	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1037	Set ILU iterative setup option	tuning		yes
pc_hypre_boomeramg_ilu_iterative_setup_tolerance	real	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1045	Set ILU iterative setup tolerance	tuning		yes
pc_hypre_boomeramg_ilu_iterative_setup_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREILUIterSe	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1033	Set ILU iterative setup type	tuning	5	yes
pc_hypre_boomeramg_ilu_level	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1057	Set ILU level	tuning		yes
pc_hypre_boomeramg_ilu_local_reordering	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1085	Enable local reordering	tuning		yes
pc_hypre_boomeramg_ilu_logging	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1053	Set ILU logging level	diagnostic		yes
pc_hypre_boomeramg_ilu_lower_jacobi_iters	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1077	Set lower Jacobi iteration count	tuning		yes
